gen;step;elapsed.sec;n_sum;phi
1;5;61.582906007766724;7;7.967804911422108
2;10;119.67979168891907;5;12.42919654055818
3;17;177.82057237625122;7;15.339103115671689
4;20;236.00806784629822;5;15.12806056145723
5;25;293.2815327644348;4;44.06552919813771
6;37;346.21264576911926;8;40.103614829266796
7;39;403.2376434803009;5;43.51435242056786
8;46;460.79847478866577;2;47.628781835254806
9;62;510.07650661468506;7;94.51984490578927
10;65;558.4191997051239;5;142.65004733184452
11;88;608.6116304397583;3;117.13639656115016
12;207;656.669921875;6;250.12697645751484
13;211;705.1560401916504;4;276.9648515474995
14;217;753.6111443042755;4;291.61769579608983
15;223;806.1667628288269;4;285.2436487291068
16;229;859.1401097774506;7;282.3686051481878
17;232;917.2768352031708;5;286.86172812270775
18;239;974.6228542327881;5;274.59038889190424
19;244;1031.925312757492;10;295.16349018840714
20;246;1089.4973669052124;3;284.2647635667377
21;253;1142.4264352321625;7;308.70138171742053
22;256;1200.3220491409302;7;376.45772603486853
23;259;1257.2676837444305;7;388.42838831526126
24;262;1315.2553334236145;5;435.54419390168414
25;269;1372.8700263500214;5;391.14450912350856
26;274;1426.7110421657562;5;421.2360063228488
27;279;1480.7245905399323;8;429.0740026914885
28;281;1538.8033723831177;6;414.6628226013199
29;285;1596.4799213409424;6;423.87760608695226
30;291;1655.891312122345;7;438.58396904629024
31;294;1717.3016664981842;8;450.34542931587526
32;296;1776.5958971977234;5;440.5333641665354
33;303;1834.7362568378448;3;461.5092538684198
34;312;1890.7177064418793;7;486.4074809924027
35;317;1951.1476430892944;3;488.8923591353578
36;334;2012.0185441970825;6;517.3985148702732
37;344;2073.9933874607086;4;543.1138384235546
38;350;2133.83656334877;5;581.1668635626238
39;359;2185.866539955139;4;564.9083533489976
40;365;2251.7079689502716;4;609.7851196731808
41;375;2312.4914512634277;5;572.7978242815433
42;380;2367.48721909523;2;603.4807573667333
43;390;2428.002748966217;3;626.9536681908417
44;399;2489.5893082618713;5;663.6471594795612
45;406;2550.2261731624603;2;628.073433699584
46;414;2606.2454566955566;6;674.4032606089013
47;418;2667.3067355155945;7;699.8865687865944
48;421;2725.7417936325073;4;621.2061833218035
49;427;2786.262310743332;7;648.3646021877121
50;430;2845.6718561649323;2;630.9987009296192
51;440;2900.4466383457184;4;677.029123472515
52;446;2959.063212633133;4;688.9459854472908
53;458;3013.97389292717;6;714.2780810037859
54;466;3071.879646539688;4;720.2567675599959
55;472;3127.722477197647;3;730.3872446106336
56;487;3182.9513025283813;6;749.352400189349
57;497;3242.5771963596344;4;779.2000522002372
58;507;3293.185614824295;4;787.1067147337893
59;513;3352.4461646080017;8;800.8932423603899
60;517;3413.9544112682343;3;803.5783206161806
61;526;3469.946985244751;6;819.061900632723
62;532;3531.7060856819153;3;838.6145729305167
63;541;3587.4109342098236;2;857.1027298026346
64;553;3642.7948944568634;3;875.1814942476058
65;560;3699.8075754642487;7;860.8209506612016
66;567;3760.592929124832;5;873.2722246447506
67;572;3820.7927012443542;3;893.0900666871772
68;583;3877.240611076355;5;1018.7964108567011
69;590;3931.143942594528;6;935.7952167308822
70;598;3987.249659061432;3;914.1799930347624
71;613;4040.4153327941895;6;1000.3692843642831
72;693;4098.5839693546295;4;1061.8473985549226
73;787;4150.428870439529;4;1208.8801678504897
74;829;4199.695759296417;5;1272.8216776129002
75;852;4255.163503170013;4;1328.7352374590532
76;858;4309.754959344864;5;1353.1777530338704
77;865;4366.616788387299;4;1344.6926496821816
78;871;4427.2015681266785;7;1362.1230005692626
79;874;4489.209441184998;5;1358.4215654586546
80;881;4547.044725894928;6;1373.1219137763132
81;885;4610.702960014343;4;1379.703013269636
82;897;4677.925075054169;5;1395.7505747087896
83;914;4742.273112535477;6;1479.9620309871098
84;962;4803.645926237106;6;1865.3456653275782
85;968;4860.678470611572;6;1880.3823737681207
86;988;4922.330779790878;5;1937.9017975007846
87;1003;4983.043622255325;5;1889.3024289569685
88;1010;5046.1043956279755;6;1898.1703217302265
89;1014;5101.599320650101;5;1912.1256481231108
90;1027;5159.161534070969;5;1931.920655239213
91;1032;5217.255855083466;3;1959.7240207715
92;1039;5281.375722169876;6;1974.5514412432194
93;1043;5344.080877780914;6;1965.7201660581027
94;1051;5408.48367524147;3;1980.2562462616172
95;1058;5472.081733226776;4;1998.6334780083669
96;1066;5538.381755113602;5;1936.4707191028542
97;1071;5602.402699708939;5;1908.7345898299736
98;1078;5666.817588090897;4;1947.206425713282
99;1084;5731.619000673294;7;1933.69527581853
100;1087;5796.6422464847565;7;2010.994615318554
