gen;step;elapsed.sec;n_sum;phi
1;7;80.77204751968384;3;-2.431345147435593e-08
2;16;157.42708325386047;3;-0.793632004414178
3;31;233.88126063346863;3;-2.0506184750246348e-08
4;38;311.27211570739746;7;4.679063509566051
5;43;397.6339406967163;4;7.0127237879248225
6;51;476.9451241493225;4;25.8674302271062
7;57;557.3144788742065;8;14.33052661442136
8;61;637.1048309803009;2;9.374444581219283
9;69;717.8764050006866;1;17.912650119775318
10;80;785.7209613323212;3;-4.650768951998259
11;97;864.2361538410187;6;107.27187442779217
12;101;940.476720571518;7;83.87253332214647
13;104;1024.0276408195496;6;99.7360887060936
14;108;1107.6597499847412;4;104.47732437278651
15;114;1189.6373693943024;5;81.7522841125861
16;119;1270.2014257907867;6;50.450671649830085
17;123;1352.8705337047577;4;63.96950969236684
18;129;1435.6423902511597;6;50.25428994466023
19;133;1517.2418258190155;5;57.49783742729817
20;140;1597.9140338897705;8;65.26939932058312
21;144;1679.55078458786;5;63.31491702492703
22;151;1759.8132848739624;3;41.483935652952596
23;168;1844.0213205814362;5;85.6575049963267
24;175;1923.6988580226898;6;85.32211114878152
25;181;2003.0133211612701;4;73.60542461731015
26;187;2083.1678891181946;5;60.866932957982414
27;192;2165.4693558216095;6;53.685117707535795
28;200;2246.743054628372;4;55.21164926740305
29;210;2326.3927643299103;6;64.71943192183335
30;216;2402.393763780594;6;63.132398049014725
31;220;2481.419712305069;4;67.40008571335771
32;226;2555.173845052719;4;72.30878996875721
33;232;2635.561695575714;3;77.93831699125718
34;241;2716.851493835449;4;84.44695080139772
35;257;2794.2890188694;8;94.47709286484476
36;259;2873.3810658454895;5;130.76879378091058
37;264;2953.017208814621;4;86.05235430469567
38;276;3025.809559106827;5;83.78184945551766
39;287;3103.819676399231;6;96.39503259816497
40;295;3182.2036368846893;6;89.59609490476893
41;301;3262.423927783966;5;91.03751249576912
42;306;3344.2371225357056;6;53.73364817912591
43;310;3426.8706572055817;3;42.060167174033595
44;319;3508.108738422394;5;46.44162644967253
45;324;3592.201604127884;7;49.10021081051427
46;327;3679.32070684433;3;77.13238206168087
47;344;3768.4453394412994;5;55.639929111277624
48;349;3855.7418932914734;2;127.0418341031906
49;357;3925.592336654663;4;102.5001750156828
50;365;4005.8283174037933;6;83.43672392070386
51;369;4085.8092823028564;4;104.50642981896083
52;379;4167.212697505951;4;91.89701802516905
53;387;4248.131855249405;5;87.08813459258475
54;392;4329.016095399857;4;90.01254826872665
55;398;4411.005828857422;1;92.54808592946549
56;409;4476.378708362579;3;97.92699256912567
57;416;4555.967842340469;6;94.20572076762613
58;420;4638.563710689545;4;84.7227446138387
59;426;4722.077854156494;5;92.96439882968502
60;433;4803.0403871536255;6;93.78382331130626
61;437;4884.622807502747;2;84.95235936668809
62;445;4964.19825553894;5;88.66863882100421
63;450;5046.99556684494;8;90.90236865325923
64;452;5130.210280179977;6;73.20416403831268
65;456;5211.840426206589;6;65.46248357418042
66;464;5295.258512020111;5;65.13525120853973
67;471;5375.686050653458;5;65.6284996357752
68;476;5456.186033248901;5;62.966122541972766
69;481;5535.627973794937;5;64.72546120665069
70;488;5616.517176866531;3;55.89852832169959
71;497;5694.9680235385895;6;45.4051808472193
72;501;5775.760082483292;3;40.74536205810631
73;508;5855.6188979148865;7;42.55687587742091
74;511;5936.68905210495;6;42.61994780374516
75;517;6021.764439582825;6;42.30093530637936
76;521;6103.11304974556;6;39.81043645082275
77;531;6184.4504380226135;4;41.11667824256705
78;537;6264.698670387268;5;37.81972625349488
79;542;6345.737987756729;6;32.14505489924801
80;548;6428.506589174271;5;20.853653408788603
81;553;6510.004468202591;5;29.13950816455508
82;558;6592.588527441025;7;25.065336405616392
83;561;6675.106691360474;5;26.65908385342476
84;568;6759.000148057938;6;17.89809910809936
85;574;6841.009691953659;7;13.989977570915528
86;581;6923.671025276184;3;11.937674672426397
87;588;7006.670171737671;6;9.878978585431923
88;592;7088.800728082657;4;11.853537429739163
89;598;7170.6417853832245;8;6.318319066027527
90;600;7253.188653469086;4;6.6409833218411904
91;608;7331.568324327469;7;8.997508402750384
92;611;7415.067271947861;2;10.471772768501069
93;619;7494.86026930809;8;12.77859765360904
94;623;7578.199639081955;7;11.123750377304816
95;628;7660.81504201889;7;8.479209431930371
96;631;7741.535937070847;4;3.2340506612169406
97;639;7821.186918020248;5;2.7220661177008196
98;644;7900.713695049286;7;0.36254109019307634
99;647;7977.9781329631805;3;1.8691532813428466
100;654;8056.512135505676;3;-3.9730157817999725
