gen;step;elapsed.sec;n_sum;phi
1;10;6.845360040664673;3;-7.916260976958966e-06
2;18;13.876670360565186;5;8.63239390708748
3;24;20.818148851394653;6;15.473279253003186
4;29;27.778472900390625;4;21.030426081600254
5;36;34.73111534118652;5;9.334091344646007
6;42;41.741782426834106;7;26.773459285319472
7;46;48.65451669692993;5;26.83824167860501
8;52;55.70581841468811;5;36.559857008260664
9;58;62.63780498504639;5;35.179514102189685
10;68;69.63782787322998;4;37.21708362974017
11;75;76.59949254989624;6;45.50718612778252
12;82;83.5832028388977;6;27.860536404557614
13;89;90.51487898826599;6;28.795716629112928
14;96;97.47283053398132;7;38.181627443419885
15;102;104.4197371006012;4;40.80325863615727
16;111;111.38785552978516;5;46.75265401693962
17;121;118.34669351577759;7;48.73526949328336
18;125;125.40772199630737;3;55.62298072360051
19;137;132.57347464561462;4;68.90513152567615
20;200;139.98445749282837;4;98.85306975213427
21;209;147.16793656349182;4;132.701956212734
22;216;154.2466163635254;6;134.79862784700444
23;221;161.3778908252716;7;143.88126147517485
24;225;168.49507188796997;5;149.34372737469755
25;231;175.59499216079712;7;147.36394775725893
26;235;182.7228651046753;6;152.19635905964913
27;242;189.86870574951172;8;162.79348606925385
28;245;196.8576123714447;5;168.65113999380605
29;251;203.90663933753967;2;171.0506243374663
30;260;211.07744431495667;5;167.95244495820066
31;266;218.5365138053894;5;167.9675365065304
32;272;225.67950534820557;2;171.20234518386368
33;281;233.02277207374573;4;177.40689033171822
34;290;240.73589444160461;3;165.66982724422473
35;298;248.0913369655609;2;173.44650680210583
36;319;255.2249367237091;7;190.00313529040136
37;329;262.3635423183441;5;193.69493588203906
38;337;269.4813771247864;5;210.73228700566872
39;343;276.58018350601196;6;209.26584904035604
40;348;283.81734132766724;4;200.11484007171316
41;359;291.032630443573;4;202.8562159242746
42;366;298.24134278297424;5;313.03926036721583
43;372;305.460098028183;4;229.5378618414293
44;379;312.60371804237366;5;207.16435518275983
45;385;319.96546721458435;6;216.32326976465956
46;392;327.0525448322296;7;225.97674400888823
47;396;334.146844625473;6;248.3257899756469
48;401;341.4518949985504;3;218.8198510886998
49;409;348.72490215301514;7;246.627814308915
50;413;355.8304145336151;8;226.54518658106343
51;416;362.93819761276245;4;225.0320116246744
52;425;370.13138031959534;6;233.56913054641163
53;430;377.2776589393616;4;237.19447206375176
54;437;384.4490501880646;5;229.2286704548106
55;443;391.75978803634644;5;243.46079637986116
56;451;399.0042188167572;4;273.1570270193247
57;458;406.2797350883484;7;271.5631664762477
58;468;413.6162621974945;4;267.87843286983815
59;475;421.0378575325012;6;254.909712980285
60;480;428.5697066783905;8;39.267059464019724
61;483;435.8526632785797;6;262.18490442170025
62;488;443.0624780654907;4;312.19738864870493
63;495;450.3903250694275;4;270.63428678378114
64;504;457.71747303009033;7;274.14784778952395
65;508;465.01261377334595;5;275.089188447051
66;514;472.0312850475311;5;274.0181534323121
67;520;479.334680557251;4;281.3197428861729
68;527;486.5088014602661;6;266.8210551983008
69;532;493.93817472457886;6;285.0369554379921
70;537;501.3078382015228;8;287.3846830956593
71;540;508.5692410469055;6;288.85527661330644
72;545;515.953357219696;6;293.6993193618268
73;552;523.3483998775482;4;295.5720963782639
74;559;530.6440715789795;6;301.12553963287337
75;564;537.9638035297394;4;301.9643533043361
76;571;545.2617781162262;6;302.15546472844096
77;576;552.3701014518738;4;307.2971562254428
78;583;559.5098731517792;7;308.4238250350043
79;587;566.6309094429016;7;310.17608513111895
80;591;573.6922459602356;4;311.6397630567229
81;600;580.7746722698212;6;315.0503872296894
82;617;587.9571998119354;6;318.5099603093518
83;622;595.1712296009064;6;326.11690290593367
84;627;602.4675259590149;6;431.42474334760175
85;634;609.7635779380798;3;330.3227802800355
86;646;617.0470442771912;6;335.2844081046333
87;651;624.3379921913147;5;337.03172148941695
88;657;631.5881876945496;5;344.06548707296633
89;663;638.954959154129;5;343.6214062188574
90;669;646.1054198741913;3;348.43737991088165
91;677;653.3596458435059;6;352.41994639597874
92;682;660.4944875240326;5;351.305664548973
93;688;667.6915814876556;6;357.62299970562015
94;693;674.7666804790497;6;356.7004041843336
95;698;681.841150522232;4;359.03182607993483
96;705;688.9254596233368;3;364.65392266647956
97;713;695.996080160141;6;367.4908609302738
98;718;703.1041128635406;3;369.4641408567157
99;728;710.2141697406769;7;373.2069968223682
100;732;717.3578848838806;4;376.4795373776959
